Name,Calories,Protein,Carbs,Fat
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
chicken,0,0,0,0
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
oats,100,11,26,2
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
Apple,95,0.5,25,0.3
Chicken Breast,165,31,0,3.6
White Rice,205,4.3,45,0.4
Banana,105,1.3,27,0.4
Eggs (2 large),140,12,1,10
